SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
T4.5,,,,,,19.17,0.01,17.42,0.01,15.06,0.04,14.73,0.12,14.84,0.12,,,,,,,,,true
L3.7INT-G,,,,20.37,0.01,18.85,0.02,17.81,0.01,15.52,0.06,14.51,0.04,13.71,0.04,12.97,0.02,12.54,0.02,11.67,0.24,8.93,,true
L1pec(blue),,,,20.21,0.03,18.57,0.01,17.57,0.01,15.71,0.05,15.03,0.09,14.7,0.09,14.34,0.03,13.99,0.05,12.36,,8.45,,true
L5.5,,,,22.3,0.08,20.3,0.04,19.31,0.03,17.17,0.22,16.06,0.22,15.66,0.22,14.82,0.03,14.57,0.06,11.73,,8.1,,true
L9,,,,,,21.05,0.08,19.87,0.06,,,,,,,15.34,0.04,14.7,0.07,12.03,,8.41,,true
L0,,,,20.75,0.02,19.23,0.01,18.3,0.01,16.59,0.13,15.84,0.16,15.09,0.16,15.07,0.04,14.9,0.07,12.26,,8.72,,true
L2.5,,,22.49,20.26,0.01,18.83,0.01,17.8,0.01,15.66,0.07,14.65,0.05,14.01,0.05,13.47,0.03,13.18,0.03,12.33,0.41,8.86,,true
L5pec,,,,,,19.69,0.02,18.79,0.13,16.67,0.13,15.55,0.13,15.12,0.13,14.24,0.03,13.75,0.04,12.26,,9.05,,true
L7,,,,,,20.29,0.04,19.23,0.06,17.14,0.21,15.69,0.15,14.84,0.08,14.11,0.03,13.79,0.04,12.03,,8.38,,true
L0,,,,20.18,0.02,18.71,0.01,17.72,0.01,15.85,0.06,15.3,0.15,15.06,0.15,14.31,0.03,14.05,0.04,11.7,,8.49,,true
L4.3,,,,21.17,0.05,19.56,0.03,18.44,0.03,16.22,0.09,15.25,0.12,14.81,0.12,14.15,0.03,13.9,0.04,12.18,,8.26,,true
T6,,,,,,,,19.56,0.17,17.03,0.06,17.77,0.13,17.0,,16.88,0.11,14.8,0.07,12.09,,8.34,,true
L0,,,20.82,18.44,0.01,16.97,0.01,15.99,0.01,14.13,0.02,13.37,0.03,12.88,0.03,12.54,0.02,12.28,0.02,11.99,0.31,8.99,,true
L1:,,,,,,20.71,0.16,19.99,0.12,,,,,,,16.53,0.09,16.23,0.24,12.31,,8.64,,true
L4,,,,20.66,0.02,18.84,0.03,17.79,0.02,15.78,0.07,14.6,0.05,14.04,0.05,13.32,0.03,13.04,0.03,12.1,,9.18,,true
L1,,,,21.47,0.03,19.95,0.05,18.87,0.01,16.54,0.14,15.89,0.13,15.04,0.13,14.55,0.03,14.14,0.05,12.0,,8.44,,true
L7.5pec(blue),,,,21.44,0.04,19.35,0.01,18.29,0.02,16.16,0.08,15.23,0.07,14.48,0.07,13.73,0.03,13.39,0.03,11.69,0.24,8.93,,true
L2,,,20.38,18.18,0.01,16.81,0.01,15.88,0.01,13.88,0.03,12.89,0.02,12.26,0.02,11.79,0.02,11.54,0.02,10.95,0.1,9.13,,true
L5.5,,,,21.05,0.03,19.63,0.03,18.65,0.02,16.33,0.12,15.23,0.09,14.54,0.09,13.84,0.03,13.39,0.03,11.83,,8.85,,true
L0,,,,19.7,0.02,18.23,0.01,17.34,0.01,15.46,0.05,14.78,0.1,14.53,0.1,14.14,0.03,13.82,0.04,12.35,0.44,8.18,,true
T0,,,,,,20.37,0.06,18.9,0.03,16.41,,15.7,,14.97,,14.33,0.03,13.67,0.04,11.94,0.28,9.03,,true
L9:,,,,,,20.71,0.06,19.7,0.05,,,,,,,14.91,0.03,14.38,0.05,12.52,,8.82,,true
L7,,,,,,20.18,0.05,19.15,0.1,16.82,0.15,15.29,0.07,14.64,0.07,13.59,0.04,13.03,0.04,12.41,0.4,8.83,,true
L0.1:FLD-G,,,20.78,18.11,0.01,16.66,0.01,15.84,0.01,14.15,0.03,13.49,0.03,13.08,0.03,12.78,0.02,12.46,0.02,11.83,0.3,8.62,,true
L1,,,21.72,19.34,0.02,17.87,0.01,16.9,0.01,14.92,0.04,14.18,0.03,13.57,0.03,13.26,0.03,13.01,0.03,12.2,0.43,8.75,,true
L2,,,,20.19,0.02,18.66,0.01,17.63,0.01,15.54,0.06,14.93,0.07,14.32,0.07,13.76,0.02,13.44,0.03,12.87,0.54,8.71,,true
L1.5,,,,21.67,0.06,20.28,0.02,19.29,0.03,16.95,0.16,16.29,0.24,16.08,0.24,15.76,0.05,15.35,0.1,12.48,,8.63,0.41,true
L0,,,,19.77,0.01,18.31,0.01,17.43,0.01,15.82,0.07,15.09,0.1,14.7,0.1,14.37,0.03,14.08,0.05,12.27,,8.93,,true
L3:,,,,22.64,0.12,21.18,0.1,20.28,0.04,,,,,,,15.95,0.06,15.92,0.19,12.31,,8.79,,true
T4.5,,,,,,,,20.96,0.16,,,,,,,16.96,0.12,15.89,0.18,12.44,,8.87,,true
L4:,,,,,,18.2,0.01,17.17,0.01,14.84,0.04,13.67,0.06,12.9,0.06,11.79,0.02,11.61,0.02,11.36,0.12,9.35,,true
L1,,,,20.05,0.02,18.54,0.01,17.56,0.01,15.6,0.07,15.0,0.07,14.38,0.07,14.04,0.03,13.82,0.04,11.9,,8.84,,true
