SpT,PS1gmag,PS1rmag,PS1imag,PS1zmag,PS1ymag,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,label
T4.5,,,,19.17,17.42,15.06,14.73,14.84,,,,,true
L3.7INT-G,,,20.37,18.85,17.81,15.52,14.51,13.71,12.97,12.54,11.67,8.93,true
L1pec(blue),,,20.21,18.57,17.57,15.71,15.03,14.7,14.34,13.99,12.36,8.45,true
L5.5,,,22.3,20.3,19.31,17.17,16.06,15.66,14.82,14.57,11.73,8.1,true
L9,,,,21.05,19.87,,,,15.34,14.7,12.03,8.41,true
L0,,,20.75,19.23,18.3,16.59,15.84,15.09,15.07,14.9,12.26,8.72,true
L2.5,,22.49,20.26,18.83,17.8,15.66,14.65,14.01,13.47,13.18,12.33,8.86,true
L5pec,,,,19.69,18.79,16.67,15.55,15.12,14.24,13.75,12.26,9.05,true
L7,,,,20.29,19.23,17.14,15.69,14.84,14.11,13.79,12.03,8.38,true
L0,,,20.18,18.71,17.72,15.85,15.3,15.06,14.31,14.05,11.7,8.49,true
L4.3,,,21.17,19.56,18.44,16.22,15.25,14.81,14.15,13.9,12.18,8.26,true
T6,,,,,19.56,17.03,17.77,17.0,16.88,14.8,12.09,8.34,true
L0,,20.82,18.44,16.97,15.99,14.13,13.37,12.88,12.54,12.28,11.99,8.99,true
L1:,,,,20.71,19.99,,,,16.53,16.23,12.31,8.64,true
L4,,,20.66,18.84,17.79,15.78,14.6,14.04,13.32,13.04,12.1,9.18,true
L1,,,21.47,19.95,18.87,16.54,15.89,15.04,14.55,14.14,12.0,8.44,true
L7.5pec(blue),,,21.44,19.35,18.29,16.16,15.23,14.48,13.73,13.39,11.69,8.93,true
L2,,20.38,18.18,16.81,15.88,13.88,12.89,12.26,11.79,11.54,10.95,9.13,true
L5.5,,,21.05,19.63,18.65,16.33,15.23,14.54,13.84,13.39,11.83,8.85,true
L0,,,19.7,18.23,17.34,15.46,14.78,14.53,14.14,13.82,12.35,8.18,true
T0,,,,20.37,18.9,16.41,15.7,14.97,14.33,13.67,11.94,9.03,true
L9:,,,,20.71,19.7,,,,14.91,14.38,12.52,8.82,true
L7,,,,20.18,19.15,16.82,15.29,14.64,13.59,13.03,12.41,8.83,true
L0.1:FLD-G,,20.78,18.11,16.66,15.84,14.15,13.49,13.08,12.78,12.46,11.83,8.62,true
L1,,21.72,19.34,17.87,16.9,14.92,14.18,13.57,13.26,13.01,12.2,8.75,true
L2,,,20.19,18.66,17.63,15.54,14.93,14.32,13.76,13.44,12.87,8.71,true
L1.5,,,21.67,20.28,19.29,16.95,16.29,16.08,15.76,15.35,12.48,8.63,true
L0,,,19.77,18.31,17.43,15.82,15.09,14.7,14.37,14.08,12.27,8.93,true
L3:,,,22.64,21.18,20.28,,,,15.95,15.92,12.31,8.79,true
T4.5,,,,,20.96,,,,16.96,15.89,12.44,8.87,true
L4:,,,,18.2,17.17,14.84,13.67,12.9,11.79,11.61,11.36,9.35,true
L1,,,20.05,18.54,17.56,15.6,15.0,14.38,14.04,13.82,11.9,8.84,true
L0,,,21.4,20.12,19.25,,,,16.15,16.24,12.28,8.74,true
L7:,,,20.7,18.78,17.77,15.61,14.47,13.78,13.05,12.79,11.9,8.78,true
L8.5,,,,20.6,19.59,,,,15.17,14.94,10.97,7.74,true
L4.5,,,21.62,20.01,18.96,16.51,15.26,14.56,13.89,13.53,11.93,8.57,true
L0:,,20.95,18.55,17.08,16.1,14.19,13.33,12.85,12.52,12.25,11.83,9.0,true
L1:,,,22.02,20.53,19.51,,,,15.9,16.26,12.21,8.71,true
L0.5,,21.44,18.95,17.45,16.46,14.59,13.98,13.18,13.1,12.85,12.56,9.05,true
L7,,,21.67,19.77,18.83,16.28,15.27,14.48,13.68,13.33,12.01,8.91,true
L2,,22.25,19.98,18.52,17.54,15.48,14.62,14.03,13.49,13.13,12.18,9.24,true
L9,,,21.36,18.21,17.0,14.95,13.78,13.22,12.42,11.84,10.96,9.6,true
L9,,,22.0,19.59,18.59,16.45,15.43,14.49,13.76,13.25,12.2,8.78,true
L1.5,,20.88,18.67,17.3,16.34,14.32,13.39,12.8,12.46,12.22,11.97,8.73,true
L1,,21.69,19.67,18.2,17.19,15.39,14.51,13.96,13.69,13.44,12.71,8.88,true
L9,,,,20.04,18.82,16.83,15.65,14.95,14.29,13.73,11.69,8.48,true
L4beta,,21.77,19.83,18.4,17.47,15.29,14.21,13.41,12.82,12.5,11.85,9.03,true
L3(blue),,,20.92,19.04,17.89,15.89,14.99,14.8,13.9,13.53,12.26,8.91,true
T6.5,,,,19.98,18.1,15.54,15.44,16.24,15.09,12.55,11.78,8.87,true
L3,,,20.43,18.8,17.79,15.53,14.57,13.94,13.29,12.93,11.75,8.65,true
L0,,,21.18,19.61,18.71,16.95,16.26,15.69,15.17,14.91,12.0,9.01,true
L5.5,,,22.55,20.85,19.67,17.03,16.11,15.66,14.8,14.47,12.72,8.87,true
L3.5,22.21,19.51,17.19,15.58,14.54,12.47,11.59,11.06,10.54,10.25,9.85,8.17,true
L3:,,,22.8,21.48,20.39,,,,16.11,15.87,12.1,8.6,true
T6,,,,,20.11,17.53,17.06,16.5,17.32,15.23,13.0,9.4,true
L1,,22.77,20.3,18.81,17.8,15.91,15.2,14.76,14.43,14.25,12.06,8.76,true
T7.5,,,,,18.22,16.6,16.66,16.73,,,,,true
T7,,,,20.85,18.91,16.5,16.54,15.74,15.99,13.83,11.82,8.56,true
L1,,,20.56,19.2,18.33,16.96,15.58,15.6,15.07,14.83,12.42,8.57,true
L0,,21.06,18.75,17.22,16.28,14.45,13.67,13.24,12.88,12.59,12.27,8.85,true
L1,,,21.02,19.45,18.47,16.68,16.09,15.58,15.4,15.17,12.52,8.75,true
L0,,,21.7,20.27,19.25,,,,15.51,15.16,12.0,8.77,true
L2beta,,20.08,17.75,16.25,15.24,13.06,12.06,11.37,10.78,10.4,9.79,8.64,true
T5,,,,20.35,18.62,16.15,16.04,15.8,15.32,13.73,12.65,8.81,true
L7pec,,,21.16,19.02,18.03,15.6,13.97,13.05,11.88,11.26,10.15,8.25,true
T2::,,,,,19.98,,,,15.52,14.86,11.84,8.4,true
L9,,,21.65,19.0,17.95,15.85,14.67,14.17,13.43,12.96,11.78,8.61,true
T8.5,,,,21.0,19.36,16.72,16.51,15.86,15.92,13.03,11.58,8.63,true
L1:,,20.59,18.05,16.49,15.55,13.78,13.08,12.65,12.33,12.07,11.5,8.85,true
L2:,,,22.62,21.02,19.87,,,,15.85,16.1,12.11,8.32,true
L3.5,,22.47,20.2,18.55,17.51,15.28,14.16,13.47,12.74,12.42,12.22,8.41,true
L4.5,,,21.47,19.82,18.7,16.36,15.56,15.46,14.67,14.35,11.46,8.76,true
L0,,,21.46,20.12,19.19,,,,,,,,true
L1,,,20.07,18.68,17.66,15.73,14.89,14.38,14.0,13.76,12.02,8.85,true
L2gamma,,,21.27,19.69,18.67,16.44,15.27,14.44,13.71,13.25,11.77,8.36,true
L1.5,,,21.99,20.42,19.4,,,,16.05,15.76,12.4,8.69,true
L0,,22.36,19.87,18.43,17.5,15.7,14.92,14.36,14.09,13.8,12.13,8.62,true
L0,,20.87,18.61,17.17,16.21,14.31,13.44,12.9,12.57,12.27,11.54,8.46,true
L0,,,20.55,19.1,18.11,16.54,15.58,15.17,14.9,14.6,12.42,8.99,true
L0:,,,21.92,20.42,19.44,,,,15.85,15.51,11.88,8.16,true
L9,,,,20.01,18.85,16.74,15.66,15.08,14.22,13.65,11.75,8.76,true
L6beta,,,21.31,19.4,18.43,16.29,14.9,14.15,13.18,12.71,12.2,8.18,true
L5,,,21.3,19.83,18.7,16.53,15.64,15.33,14.68,14.47,12.61,8.9,true
L1:,,,22.39,21.05,20.06,,,,,,,,true
L0,,,20.49,19.02,18.22,16.58,16.21,15.34,15.32,14.99,12.84,8.91,true
L8,,,21.21,19.01,18.04,15.82,14.51,13.71,12.72,12.19,11.38,8.77,true
L0,,,20.56,19.04,18.09,16.29,15.72,14.62,14.93,14.58,12.32,8.82,true
L0,,22.81,20.57,19.05,18.13,16.33,15.72,15.34,14.88,14.41,11.87,8.72,true
L4,,,21.51,20.05,19.02,,,,15.26,15.02,11.9,8.2,true
L3.5,,,22.46,20.73,19.65,,,,15.43,15.01,11.89,8.81,true
L3.5,,,,21.19,20.06,,,,15.75,15.46,12.34,8.91,true
L1,,,21.37,19.85,18.91,,,,15.45,15.25,12.48,8.15,true
T2,,,,,19.36,17.02,15.95,17.04,,,,,true
L1,,21.93,19.82,18.34,17.33,15.47,14.65,14.4,13.87,13.58,12.64,9.08,true
L0,,,20.67,19.14,18.17,16.15,15.49,14.88,14.8,14.42,12.13,9.16,true
L4gamma,,,22.39,21.14,20.04,17.11,16.17,15.28,14.23,13.69,12.47,9.06,true
L5,,,21.58,19.97,18.98,16.83,15.9,15.43,14.47,14.14,12.26,9.08,true
T0,,,,21.06,19.7,,,,15.83,15.0,12.86,9.35,true
L6,,,22.7,21.21,20.14,,,,15.5,14.97,12.75,9.22,true
L4,,,21.27,19.83,18.81,16.78,15.34,14.7,14.05,13.72,12.49,9.18,true
T6,,,,,20.58,,,,17.66,16.19,12.04,8.74,true
T3,,,,,20.58,,,,17.48,17.07,12.73,9.15,true
L4:,,21.43,19.19,17.79,16.85,14.68,13.7,13.05,12.45,12.2,11.8,9.36,true
L5,,,21.31,19.79,18.7,16.72,15.41,14.65,14.23,13.94,12.15,8.34,true
L1,,22.81,20.42,19.06,18.06,16.19,15.16,14.63,14.27,13.98,11.94,8.96,true
L9.5,,,,19.65,18.63,16.62,15.48,15.12,14.28,13.88,11.66,8.97,true
T6,,,,,20.06,,,,16.89,14.64,12.37,8.68,true
L1.5,,21.09,18.78,17.39,16.44,14.41,13.53,12.92,12.51,12.26,11.87,9.17,true
L4:,,,22.87,21.44,20.16,,,,15.85,15.31,12.71,9.17,true
T2.5,,,20.89,17.36,15.72,13.46,12.77,12.56,11.94,10.96,9.74,8.86,true
L1.5,,,22.51,20.99,20.08,,,,16.19,15.72,11.96,8.99,true
T3,,,,19.87,18.56,16.39,15.8,15.2,14.42,13.39,12.16,9.21,true
L3.5,,,22.79,21.09,20.11,,,,,,,,true
L1,,20.52,18.26,16.81,15.84,13.88,13.03,12.49,12.16,11.93,11.59,8.69,true
L7:,,,21.31,19.37,18.37,16.21,15.16,14.34,13.69,13.26,12.04,8.57,true
L5,,21.65,19.47,17.63,16.53,14.19,13.01,12.27,11.63,11.37,10.88,8.5,true
L0,,,20.8,19.28,18.37,16.56,16.3,15.4,15.19,14.85,12.47,9.18,true
L1.5,,,20.24,18.82,17.89,15.84,14.85,14.28,13.98,13.76,12.45,8.9,true
L0.5,,21.89,19.41,17.93,16.95,14.95,14.16,13.57,13.18,12.92,12.16,9.05,true
L5,,,,21.27,20.24,,,,15.53,14.97,12.14,8.79,true
L0.5,,,21.38,19.9,19.01,,,,15.67,15.52,12.49,9.15,true
T0,,,21.77,19.28,18.14,16.11,15.02,14.48,13.65,13.04,11.86,8.78,true
T7.5,,,,,20.75,,,,17.5,15.24,12.0,9.25,true
T1,,,,20.0,18.57,16.57,15.6,15.18,14.62,13.93,12.14,8.61,true
L5,,,22.78,21.02,19.92,,,,15.47,15.0,12.81,8.93,true
L0,,21.42,19.35,17.9,16.92,15.21,14.48,13.96,13.63,13.34,12.81,9.2,true
L5,,21.67,19.71,18.08,17.03,14.83,13.76,13.14,12.56,12.21,11.98,8.76,true
L6,,,,19.14,18.07,15.96,14.99,14.32,,,,,true
T6,,,,22.08,20.46,,,,,,,,true
L5:,,,,20.94,19.8,16.86,16.52,16.08,15.41,14.97,12.27,9.17,true
T5,,,,,20.62,,,,17.78,16.81,12.78,9.1,true
L5,,,20.75,19.0,17.93,15.68,14.45,13.67,12.94,12.56,11.82,8.63,true
T1,,,,,20.17,,,,16.25,15.3,12.23,8.75,true
L7,,,19.91,17.66,16.65,14.59,13.57,13.0,12.23,11.78,10.77,8.53,true
L3,,,20.81,19.26,18.23,16.03,15.17,14.36,14.02,13.68,12.34,9.23,true
L0.5,,,,20.74,19.68,,,,16.54,16.33,12.55,8.95,true
L4.5blue,,,21.58,19.67,18.62,16.56,15.54,15.16,14.27,13.82,12.54,8.82,true
T5.5,,,,,19.59,,,,16.49,14.74,11.99,9.01,true
L8(red),,,,19.73,18.71,16.53,15.1,14.52,13.42,12.83,11.17,8.74,true
L3,,21.92,19.73,18.43,17.46,15.46,14.47,13.81,13.49,13.26,12.71,9.31,true
T4.5,,,,21.0,19.37,16.8,16.4,15.41,16.3,15.05,12.55,8.9,true
L1,,20.84,18.36,16.92,15.95,13.99,13.11,12.59,12.19,11.96,11.11,8.7,true
L5,,,20.77,18.99,17.97,15.71,14.56,13.87,13.3,13.0,12.38,8.53,true
L5,,,21.23,19.29,18.29,16.21,14.97,14.41,13.69,13.28,11.4,8.72,true
T4.5,,,,20.79,19.1,16.77,16.06,15.88,16.33,14.73,12.5,8.56,true
L0gamma,,,19.64,18.13,17.08,15.07,14.16,13.5,13.03,12.68,11.93,9.06,true
L1,,22.68,20.44,19.04,18.09,16.13,15.42,15.01,14.58,14.38,11.88,8.87,true
L0,,,21.48,19.89,18.94,,,,15.39,15.2,12.2,8.81,true
T3,,,22.07,19.22,17.57,15.3,14.77,14.77,14.2,13.43,,,true
L1.5,,20.24,17.83,16.34,15.38,13.49,12.76,12.21,11.87,11.61,11.26,8.72,true
L1,,21.64,19.47,17.92,16.94,14.97,14.05,13.48,12.95,12.63,12.0,8.89,true
L1,,21.09,18.49,16.98,16.0,14.11,13.34,12.91,12.57,12.32,12.49,9.07,true
T5,,,,,21.05,,,,,,,,true
L1.5,,,20.61,19.38,18.34,16.64,15.77,15.39,14.86,14.82,12.52,8.84,true
L2,,,20.91,19.48,18.53,16.58,15.41,14.69,14.38,14.11,12.24,8.98,true
T7,,,,,21.26,,,,17.86,16.13,12.17,9.16,true
T3,,,,,20.29,,,,,,,,true
T3,,,,21.56,19.77,,,,,,,,true
L1,,20.16,17.93,16.5,15.56,13.57,12.63,12.14,11.79,11.57,11.12,9.17,true
L0,,,20.96,19.61,18.82,16.88,16.59,16.05,15.88,15.96,12.48,9.2,true
L0:,,20.57,18.17,16.71,15.76,13.84,12.99,12.47,12.13,11.89,11.36,8.87,true
L0:,21.54,19.76,17.34,15.91,14.99,13.17,12.33,11.82,11.56,11.33,11.12,8.72,true
L0:VL-G,,,21.38,19.82,18.75,16.49,15.75,15.18,14.69,14.34,12.66,8.86,true
L0:,,21.0,18.59,17.13,16.15,14.29,13.48,12.99,12.67,12.39,11.98,8.79,true
L8:pec,,,,20.3,19.14,16.68,15.72,14.93,14.26,13.65,11.82,9.1,true
L1,,,20.24,18.76,17.8,15.82,15.21,14.89,14.3,14.01,12.87,8.77,true
L0,,21.55,19.15,17.73,16.75,14.82,13.91,13.4,12.97,12.7,11.81,9.11,true
T6,,,,20.82,19.17,16.85,17.18,17.04,16.4,14.34,12.03,8.87,true
L2,,22.22,19.89,18.42,17.44,15.57,14.81,14.19,13.78,13.5,12.29,9.31,true
L1,,,17.4,16.16,15.39,12.69,12.73,12.19,,,,,true
L6,,,21.41,19.24,18.14,16.1,15.27,14.67,13.83,13.41,12.66,9.1,true
L2.6:INT-G,,21.57,19.12,17.49,16.55,14.8,14.16,13.78,13.44,13.12,12.09,9.38,true
L0,,20.71,18.53,17.1,16.16,14.29,13.53,13.04,12.71,12.43,11.79,9.08,true
